BOOK_ID	BOOK_ID_f
348368158	29
348379607	30
348918047	37
349661561	42
353316243	49
354793369	55
1694039	1
11095398	4
11255006	5
36579736	7
61325343	9
113071299	11
345979799	12
346017851	13
346037351	14
346051999	15
346333421	16
346624472	17
346631932	18
346632342	19
346723983	20
347140090	21
347292524	22
347367359	23
348176700	24
348276995	25
348289317	26
348354545	27
348358011	28
348402201	31
348468783	32
348473340	33
348480323	34
348579319	35
348617065	36
349106739	38
349150953	39
349154606	40
350014569	43
350460966	44
351305475	45
351397012	46
352394767	47
352785104	48
353501658	50
354285981	51
354511716	52
354532406	53
355036101	56
355215769	57
355216243	58
355345871	59
355478559	60
355633032	61
355731844	62
356183621	64
356302132	66
356394265	67
356429062	68
356438824	69
356763555	70
357067197	71
357067533	72
357310948	75
357442491	76
357630949	77
357658913	78
357670729	79
357859147	81
358203841	82
358303125	83
358959125	85
358979504	86
358991931	87
359161088	88
359326608	89
357095130	73
356289129	65
359830176	90
355854888	63
357725790	80
357287340	74
3790441	2
354661883	54
358852438	84
7389486	3
26303427	6
46332553	8
67915316	10
349407522	41
