CUSTOMER	DAY	LOCATION	LOCATION2	FROM	NOTE	BOOK_ID	NOTE2	BOOK_TYPE	CLASS_ID	CLASS_NAME	AMOUNT	LENGTH	LENGTH2	PAGES	PAGES2	BOOK_NAME
297017f0d704830c05774f455c5919e3	201106	200	756	1	0	348368158	1	1	10	言情	177	123	54	44	26	不做丫鬟很多年：冷艳王妃
297017f0d704830c05774f455c5919e3	201106	200	756	1	0	348379607	1	1	10	言情	2	0	2	0	1	天才宝贝霸情爹
297017f0d704830c05774f455c5919e3	201106	200	756	1	0	348918047	1	1	13	穿越	103	14	89	5	23	绝色殿下闯祸妃
297017f0d704830c05774f455c5919e3	201106	200	756	1	0	349661561	1	1	10	言情	1	1	0	1	0	哦，这该死的缘
297017f0d704830c05774f455c5919e3	201106	200	756	1	0	353316243	1	1	10	言情	208	46	162	7	31	颜魅天下：百变俏妖姬
297017f0d704830c05774f455c5919e3	201106	200	756	1	0	354793369	1	1	10	言情	50	7	43	5	3	买醉公主：燃情灼爱
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	1694039	1	1	11	都市	218	77	141	29	32	黑道千金
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	11095398	2	1	13	穿越	1	1	0	1	0	宝贝闯古代
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	11255006	1	1	13	穿越	1	1	0	1	0	颜倾天下之神偷皇后
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	36579736	1	1	12	青春	1	1	0	1	0	我的野蛮王妃
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	61325343	2	1	13	穿越	1	1	0	1	0	绝世舞姬之火舞大唐
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	113071299	2	1	13	穿越	1	1	0	1	0	穿越之倾国妖孽
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	345979799	1	1	13	穿越	2	2	0	1	0	冷宫宠后之美人暗妖娆
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	346017851	1	1	13	穿越	721	151	570	32	134	冷酷王爷俏丫鬟
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	346037351	1	1	12	青春	1	1	0	1	0	王子和灰姑娘的姐弟恋
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	346051999	2	1	13	穿越	1	1	0	1	0	狐狸精穿越：一代妖妃
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	346333421	1	1	13	穿越	1	1	0	1	0	花心公主闹皇宫
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	346624472	1	1	10	言情	1387	114	1273	21	225	错嫁新娘：我的嗜血老公
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	346631932	1	1	10	言情	22	22	0	5	0	帝集团：驯服冰山老公
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	346632342	1	1	13	穿越	1	1	0	1	0	妃常穿越：暴君的宠姬
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	346723983	1	1	13	穿越	2	2	0	1	0	穿越：丑颜泪之下堂王妃
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	347140090	1	1	10	言情	9	9	0	4	0	美梦成真：丑女变西施
